service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0095UE546510501133453,0,0,0,0,0,1,0,20140719,20140822
0095UE546510501133956,1,1,1,1,1,0,0,20140719,20140822
0095UE546511101165346,0,0,0,0,0,1,0,20140719,20140822
0095UE546511101166335,1,1,1,1,1,0,0,20140719,20140822
0095UE546511201183043,0,0,0,0,0,1,0,20140719,20140822
0095UE546511201183546,1,1,1,1,1,0,0,20140719,20140822
0095UE546511401214936,0,0,0,0,0,1,0,20140719,20140822
0095UE546511401215925,1,1,1,1,1,0,0,20140719,20140822
0095UE546511501231089,0,0,0,0,0,0,1,20140719,20140822
0095UE546511501231962,0,0,0,0,0,0,1,20140719,20140822
0095UE546511501232633,0,0,0,0,0,1,0,20140719,20140822
0095UE546511501233136,1,1,1,1,1,0,0,20140719,20140822
0095UE546512101264526,0,0,0,0,0,1,0,20140719,20140822
0095UE546512101265515,1,1,1,1,1,0,0,20140719,20140822
0095UE546512201282223,0,0,0,0,0,1,0,20140719,20140822
0095UE546512201282726,1,1,1,1,1,0,0,20140719,20140822
0095UE546512401314116,0,0,0,0,0,1,0,20140719,20140822
0095UE546512401315105,1,1,1,1,1,0,0,20140719,20140822
0095UE546512501330269,0,0,0,0,0,0,1,20140719,20140822
0095UE546512501331142,0,0,0,0,0,0,1,20140719,20140822
0095UE546512501331813,0,0,0,0,0,1,0,20140719,20140822
0095UE546512501332316,1,1,1,1,1,0,0,20140719,20140822
0095UE546513101363706,0,0,0,0,0,1,0,20140719,20140822
0095UE546513101364695,1,1,1,1,1,0,0,20140719,20140822
0095UE546513201381403,0,0,0,0,0,1,0,20140719,20140822
0095UE546513201381906,1,1,1,1,1,0,0,20140719,20140822
0095UE546513401413296,0,0,0,0,0,1,0,20140719,20140822
0095UE546513401414285,1,1,1,1,1,0,0,20140719,20140822
0095UE546513501429449,0,0,0,0,0,0,1,20140719,20140822
0095UE546513501430322,0,0,0,0,0,0,1,20140719,20140822
0095UE546513501430993,0,0,0,0,0,1,0,20140719,20140822
0095UE546513501431496,1,1,1,1,1,0,0,20140719,20140822
0095UE546514101462886,0,0,0,0,0,1,0,20140719,20140822
0095UE546514101463875,1,1,1,1,1,0,0,20140719,20140822
0095UE546514201480583,0,0,0,0,0,1,0,20140719,20140822
0095UE546514201481364,1,1,1,1,1,0,0,20140719,20140822
0095UE546514401512476,0,0,0,0,0,1,0,20140719,20140822
0095UE546514401513465,1,1,1,1,1,0,0,20140719,20140822
0095UE546514501528629,0,0,0,0,0,0,1,20140719,20140822
0095UE546514501529502,0,0,0,0,0,0,1,20140719,20140822
0095UE546514501530173,0,0,0,0,0,1,0,20140719,20140822
0095UE546514501534217,1,1,1,1,1,0,0,20140719,20140822
0095UE546515101562066,0,0,0,0,0,1,0,20140719,20140822
0095UE546515101568118,1,1,1,1,1,0,0,20140719,20140822
0095UE546515201579763,0,0,0,0,0,1,0,20140719,20140822
0095UE546515201590399,1,1,1,1,1,0,0,20140719,20140822
0095UE546515401611656,0,0,0,0,0,1,0,20140719,20140822
0095UE546515501627809,0,0,0,0,0,0,1,20140719,20140822
0095UE546515501628682,0,0,0,0,0,0,1,20140719,20140822
0095UE546515501629353,0,0,0,0,0,1,0,20140719,20140822
0095UE546516101661246,0,0,0,0,0,1,0,20140719,20140822
0095UE546516201678943,0,0,0,0,0,1,0,20140719,20140822
0095UE546516401710836,0,0,0,0,0,1,0,20140719,20140822
0095UE546516501726989,0,0,0,0,0,0,1,20140719,20140822
0095UE546516501727862,0,0,0,0,0,0,1,20140719,20140822
0095UE546516501728533,0,0,0,0,0,1,0,20140719,20140822
0095UE546517101760426,0,0,0,0,0,1,0,20140719,20140822
0095UE546517101770786,1,1,1,1,1,0,0,20140719,20140822
0095UE546517201778123,0,0,0,0,0,1,0,20140719,20140822
0095UE546517201789482,1,1,1,1,1,0,0,20140719,20140822
0095UE546517401809346,0,0,0,0,0,1,0,20140719,20140822
0095UE546517401819537,1,1,1,1,1,0,0,20140719,20140822
0095UE546517501822770,0,0,0,0,0,0,1,20140719,20140822
0095UE546517501824837,0,0,0,0,0,0,1,20140719,20140822
0095UE546517501827378,0,0,0,0,0,1,0,20140719,20140822
0095UE546517501834175,1,1,1,1,1,0,0,20140719,20140822
0095UE546518101858936,0,0,0,0,0,1,0,20140719,20140822
0095UE546518101866200,1,1,1,1,1,0,0,20140719,20140822
0095UE546518201875962,0,0,0,0,0,1,0,20140719,20140822
0095UE546518201881776,1,1,1,1,1,0,0,20140719,20140822
0095UE546519101957475,0,0,0,0,0,1,0,20140719,20140822
0095UE546519101958602,1,1,1,1,1,0,0,20140719,20140822
0095UE546519201971664,1,1,1,1,1,0,0,20140719,20140822
0095UE546519201975142,0,0,0,0,0,1,0,20140719,20140822
0095UE546520102056655,0,0,0,0,0,1,0,20140719,20140822
0095UE546520102057782,1,1,1,1,1,0,0,20140719,20140822
0095UE546520202070844,1,1,1,1,1,0,0,20140719,20140822
0095UE546520202074322,0,0,0,0,0,1,0,20140719,20140822
0096UE55010600622621,1,1,1,1,1,0,0,20140719,20140822
0096UE55010600624215,1,1,1,1,1,0,0,20140719,20140822
0096UE55010630671353,1,1,1,1,1,0,0,20140719,20140822
0096UE55010630674515,1,1,1,1,1,0,0,20140719,20140822
0096UE55010700732819,1,1,1,1,1,0,0,20140719,20140822
0096UE55010700733765,1,1,1,1,1,0,0,20140719,20140822
0096UE55010730765394,0,0,0,0,0,1,0,20140719,20140822
0096UE55010730765963,0,0,0,0,0,1,0,20140719,20140822
0096UE55010730780319,1,1,1,1,1,0,0,20140719,20140822
0096UE55010730781660,1,1,1,1,1,0,0,20140719,20140822
0096UE55010745787875,0,0,0,0,0,0,1,20140719,20140822
0096UE55010750796501,0,0,0,0,0,0,1,20140719,20140822
0096UE55010800813274,0,0,0,0,0,1,0,20140719,20140822
0096UE55010800813843,0,0,0,0,0,1,0,20140719,20140822
0096UE55010800828199,1,1,1,1,1,0,0,20140719,20140822
0096UE55010800829540,1,1,1,1,1,0,0,20140719,20140822
0096UE55010830861154,0,0,0,0,0,1,0,20140719,20140822
0096UE55010830863276,0,0,0,0,0,1,0,20140719,20140822
0096UE55010830874000,1,1,1,1,1,0,0,20140719,20140822
0096UE55010830875948,1,1,1,1,1,0,0,20140719,20140822
0096UE55010845883635,0,0,0,0,0,0,1,20140719,20140822
0096UE55010850892322,0,0,0,0,0,0,1,20140719,20140822
0096UE55010900909853,0,0,0,0,0,1,0,20140719,20140822
0096UE55010900915057,1,1,1,1,1,0,0,20140719,20140822
0096UE55010900916724,0,0,0,0,0,1,0,20140719,20140822
0096UE55010900917632,1,1,1,1,1,0,0,20140719,20140822
0096UE55010930957733,0,0,0,0,0,1,0,20140719,20140822
0096UE55010930962937,1,1,1,1,1,0,0,20140719,20140822
0096UE55010930964604,0,0,0,0,0,1,0,20140719,20140822
0096UE55010930965512,1,1,1,1,1,0,0,20140719,20140822
0096UE55010945981673,0,0,0,0,0,0,1,20140719,20140822
0096UE55010950990927,0,0,0,0,0,0,1,20140719,20140822
0096UE550110001010817,1,1,1,1,1,0,0,20140719,20140822
0096UE550110001011103,0,0,0,0,0,1,0,20140719,20140822
0096UE550110001012484,0,0,0,0,0,1,0,20140719,20140822
0096UE550110001013392,1,1,1,1,1,0,0,20140719,20140822
0096UE550110301058697,1,1,1,1,1,0,0,20140719,20140822
0096UE550110301058983,0,0,0,0,0,1,0,20140719,20140822
0096UE550110301060364,0,0,0,0,0,1,0,20140719,20140822
0096UE550110301061272,1,1,1,1,1,0,0,20140719,20140822
0096UE550110451078607,0,0,0,0,0,0,1,20140719,20140822
0096UE550110501089823,0,0,0,0,0,0,1,20140719,20140822
0096UE550111001106577,1,1,1,1,1,0,0,20140719,20140822
0096UE550111001106863,0,0,0,0,0,1,0,20140719,20140822
0096UE550111001108244,0,0,0,0,0,1,0,20140719,20140822
0096UE550111001109152,1,1,1,1,1,0,0,20140719,20140822
0096UE550111301154457,1,1,1,1,1,0,0,20140719,20140822
0096UE550111301154743,0,0,0,0,0,1,0,20140719,20140822
0096UE550111301156124,0,0,0,0,0,1,0,20140719,20140822
0096UE550111301157032,1,1,1,1,1,0,0,20140719,20140822
0096UE550111451174367,0,0,0,0,0,0,1,20140719,20140822
0096UE550111501185583,0,0,0,0,0,0,1,20140719,20140822
0096UE550112001199534,0,0,0,0,0,1,0,20140719,20140822
0096UE550112001202337,1,1,1,1,1,0,0,20140719,20140822
0096UE550112001204004,0,0,0,0,0,1,0,20140719,20140822
0096UE550112001204912,1,1,1,1,1,0,0,20140719,20140822
0096UE550112301250217,1,1,1,1,1,0,0,20140719,20140822
0096UE550112301250503,0,0,0,0,0,1,0,20140719,20140822
0096UE550112301251884,0,0,0,0,0,1,0,20140719,20140822
0096UE550112301252792,1,1,1,1,1,0,0,20140719,20140822
0096UE550112451270127,0,0,0,0,0,0,1,20140719,20140822
0096UE550112501281343,0,0,0,0,0,0,1,20140719,20140822
0096UE550113001298097,1,1,1,1,1,0,0,20140719,20140822
0096UE550113001298383,0,0,0,0,0,1,0,20140719,20140822
0096UE550113001299764,0,0,0,0,0,1,0,20140719,20140822
0096UE550113001300672,1,1,1,1,1,0,0,20140719,20140822
0096UE550113301345857,0,0,0,0,0,1,0,20140719,20140822
0096UE550113301345977,1,1,1,1,1,0,0,20140719,20140822
0096UE550113301347644,0,0,0,0,0,1,0,20140719,20140822
0096UE550113301348552,1,1,1,1,1,0,0,20140719,20140822
0096UE550113451365887,0,0,0,0,0,0,1,20140719,20140822
0096UE550113501377103,0,0,0,0,0,0,1,20140719,20140822
0096UE550114001393737,0,0,0,0,0,1,0,20140719,20140822
0096UE550114001393857,1,1,1,1,1,0,0,20140719,20140822
0096UE550114001395524,0,0,0,0,0,1,0,20140719,20140822
0096UE550114001397249,1,1,1,1,1,0,0,20140719,20140822
0096UE550114301441617,0,0,0,0,0,1,0,20140719,20140822
0096UE550114301443055,1,1,1,1,1,0,0,20140719,20140822
0096UE550114301443404,0,0,0,0,0,1,0,20140719,20140822
0096UE550114301446604,1,1,1,1,1,0,0,20140719,20140822
0096UE550114451461647,0,0,0,0,0,0,1,20140719,20140822
0096UE550114501472863,0,0,0,0,0,0,1,20140719,20140822
0096UE550115001489497,0,0,0,0,0,1,0,20140719,20140822
0096UE550115001491284,0,0,0,0,0,1,0,20140719,20140822
0096UE550115001491501,1,1,1,1,1,0,0,20140719,20140822
0096UE550115001496533,1,1,1,1,1,0,0,20140719,20140822
0096UE550115301537377,0,0,0,0,0,1,0,20140719,20140822
0096UE550115301539164,0,0,0,0,0,1,0,20140719,20140822
0096UE550115301542695,1,1,1,1,1,0,0,20140719,20140822
0096UE550115301544413,1,1,1,1,1,0,0,20140719,20140822
0096UE550115451557407,0,0,0,0,0,0,1,20140719,20140822
0096UE550115501568623,0,0,0,0,0,0,1,20140719,20140822
0096UE550116001585257,0,0,0,0,0,1,0,20140719,20140822
0096UE550116001587044,0,0,0,0,0,1,0,20140719,20140822
0096UE550116001590825,1,1,1,1,1,0,0,20140719,20140822
0096UE550116001592543,1,1,1,1,1,0,0,20140719,20140822
0096UE550116301633137,0,0,0,0,0,1,0,20140719,20140822
0096UE550116301634924,0,0,0,0,0,1,0,20140719,20140822
0096UE550116301638705,1,1,1,1,1,0,0,20140719,20140822
0096UE550116301640423,1,1,1,1,1,0,0,20140719,20140822
0096UE550116451653167,0,0,0,0,0,0,1,20140719,20140822
0096UE550116501664383,0,0,0,0,0,0,1,20140719,20140822
0096UE550117001681017,0,0,0,0,0,1,0,20140719,20140822
0096UE550117001681984,0,0,0,0,0,1,0,20140719,20140822
0096UE550117001686585,1,1,1,1,1,0,0,20140719,20140822
0096UE550117001687648,1,1,1,1,1,0,0,20140719,20140822
0096UE550117301727662,0,0,0,0,0,1,0,20140719,20140822
0096UE550117301729864,0,0,0,0,0,1,0,20140719,20140822
0096UE550117301731150,1,1,1,1,1,0,0,20140719,20140822
